p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.71212193251376e-07,2.613115043716,0.667,0.179,0.00534062982430754,2,Hlx
4.1874364079749e-07,3.55110887439162,0.75,0.299,0.00602446476015348,2,Slc37a2
4.598618915847e-07,1.4903413219921,0.583,0.157,0.00661603303422908,2,Mb21d1
5.13666479369614e-07,8.79696969580999,0.542,0.157,0.00739011963869064,2,Igsf6
5.16427159623463e-07,3.1570033881826,0.667,0.224,0.00742983754550277,2,Slc16a10
5.5990379152185e-07,5.82520201895019,0.833,0.642,0.00805533584862486,2,Igf1
6.18430928174316e-07,2.65436630984895,0.542,0.134,0.00889736576364389,2,Chst1
6.19404832383731e-07,1.25522653295262,0.667,0.216,0.00891137732350473,2,Tlr2
6.19533477769149e-07,4.66090727543885,0.708,0.299,0.00891322814466474,2,Gatm
6.33869808767475e-07,3.94145603703807,0.708,0.261,0.00911948493873767,2,Pon3
6.33983197481737e-07,2.56868553910825,0.583,0.142,0.00912111626216975,2,Slc40a1
6.97442448460452e-07,3.24514743354135,0.708,0.254,0.0100341045060005,2,4930506M07Rik
7.29422501953563e-07,4.0183549832027,0.75,0.343,0.0104942015356059,2,Trf
7.47926804694974e-07,1.56453002080878,1,1,0.0107604229391466,2,Sdcbp
7.5893707913907e-07,2.67784944746804,0.75,0.306,0.0109188277575738,2,Rbm47
8.55031299877949e-07,2.55781103281214,0.583,0.157,0.0123013353113441,2,Pygl
8.69989969890549e-07,4.91065552299175,0.708,0.269,0.0125165456968153,2,Tnfrsf11a
1.12320232038944e-06,1.96619909003602,0.708,0.254,0.0161595117834429,2,Ifi204
1.23367439925026e-06,4.75437257702467,0.708,0.246,0.0177488735820135,2,Gmfg
1.30828701455643e-06,2.31483199725249,0.75,0.291,0.0188223252784234,2,Tmem106a
1.34929825340046e-06,1.80428229554807,1,0.955,0.0194123539716724,2,Wdr89
1.51264502905967e-06,2.71315271676178,0.917,0.672,0.0217624240330815,2,Ell2
1.68862256768165e-06,3.04704870897532,0.583,0.172,0.0242942128812359,2,Rftn1
